fname,pathologies,comments
10-cours-julien-13006_2018_03497.pdf,"- Nombreuses fissures sur la façade en retour sur la Jean Roque

- Fissures à 45° montrant un affaissement du trumeau entre les 2 fenêtres du 1°
étage d’une part, et s’appuyant sur une porte cochère se retrouve sur le trumeau de
droite.

- Etaiement au niveau de la cave

Appartement du 2ème étage à l'angle :

- Affaissement de plancher et souplesse au niveau de l’équipement de cuisine

",
102-BD-DE-LA-LIBERATION-13004_2019_00458.pdf,"- la structure a été modifiée de manière significative à plusieurs reprises

- au niveau du plancher haut du rez-de-chaussée les poutres bois composant les
éléments structurels et enfûtages ont été attaqués par des termites, avec une perte de
matière estimée à 20% de la composition de chaque élément structurel en bois

- les ouvrages structurels en bois attaqués par les xylophages n’ont pas été renforcés
par moisage, mais par la pose de HEA de 300 mm en acier, contribuant ainsi à
alourdir la structure de l’immeuble et apporter une faiblesse supplémentaire dans
l’ensemble de ce dernier

- l’alourdissement de la structure se traduit par un chantournement de l’immeuble sur
lui-même

- un glissement s’opère à la rencontre de l’angle droit situé au droit du 102,
boulevard de la libération et du 1 rue Saint Vincent de Paul.

- les ouvrages structurels ont subi une torsion importante, qui semble devenue
irrémédiable.

- cet immeuble semble être devenu impropre à sa destination et être appelé à la
démolition puisque aucune solution ne semble pouvoir être apportée pour rétablir une
stabilité pérenne de l’ouvrage.

",
102-boulevard-baille-13005-pi_2019_00043.pdf,"hall d'entrée côté arrière et couloir :
- Des éléments de maçonneries instables en imposte de l’ex-porte sur le mur de la
façade en retrait.
- Une fissure horizontale le long de la cloison qui finit en biais avant d’atteindre la
façade sur cour.

- Fissure sur le limon de la 2ème volée de l’escalier
Façade sur cour en RdC (Local commercial et Maisonnette) :
- Fissures sur l’imposte de la porte d’accès
- Fissure en arc de décharge et une fissure perpendiculaire au sol à droite de la
fenêtre centrale de la façade de la maisonnette. Nez de dalle fissuré et dalle
carrelée fissurée.
Parcelle en fond de cour :
- Fissuration de l’enduit de façade en imposte et en extrémité du linteau de la
porte.
Appartement du ler étage :
- Affaissement du plancher bas de la chambre située à côté de la cage d’escalier.
Cet affaissement se sens lors de déplacements dans la pièce.
- Explosion des cloisons séparatives entre la chambre et le séjour.
- Fissures du revêtement mural et décollement du carrelage.
- Le palier des communs présente un dévers vers l’appartement et la salle de
bains.
- Le balcon présente :
+ Le dévers de la poutre métallique avec une déformation.
+ Une dégradation très importante de la poutre métallique.
Appartement du 2ème étage
- Fissures en forme d’escalier sur les cloisons de distribution.
- Surépaisseur de plancher et surcharge du plancher.
- Fissure verticale en allège de la fenêtre sur rue.
- Fissure horizontale dans le prolongement de la sous face des linteaux sur le mur
meneau.
- Fissure horizontale sur le linteau des fenêtres de la façade balcon.
Appartement du 3ème étage
- Dans le séjour, une fissure verticale sur la cloison séparative avec la cuisine.
- Dans la cuisine, une fissure sur la cloison séparative avec le séjour ; d’où une
fissure traversante.
- Dans le séjour, une fissure verticale située à l’angle du mur mitoyen et de la
façade arrière.
- Fissure sur le revêtement de sol en bordure de la dalle du balcon.
- Une fissure horizontale située en sous face des linteaux sur la façade arrière.
Les combles :
- La Première partie des combles présente une poutre bois en très mauvais état.
Elle est située sous une tabatière.

",
107-rue-Kleber-Prolongee-13003_2018_02995-edited.pdf,"Dans la cage d'escalier :

- Fissure en biais sur le mur mitoyen avec l’immeuble 109.

- Effondrement partiel des sous faces des volées d’escalier.

- Désolidarisation des marches d’escalier avec le mur support de l’escalier.

Façade sur rue :
- La façade sur rue présente des fissures et éclats.

Appartement du dernier étage
Cuisine :décollement de la façade avec la paroi de distribution des pièces.

- décollement périphérique du faux plafond.
- décollement de la façade avec le mur mitoyen.
- fissures horizontales sur le mur de la façade.
Chambre : présence de deux fissures en biais sur toute hauteur.
Mezzanine : traces d’infiltrations dans le placard.
- effondrement du plafond du placard.
- fissure presque horizontale sur le mur séparatif d’immeubles sur la largeur
de la mezzanine.

",
109-rue-Kleber-Prolongee-13003_2018_02996-edited.pdf,"Façade sur rue :

- La façade présente de nombreuses fissures.

- Les lames de bois se décrochent des volets et menacent de tomber sur les

piétons.

- Le gond n’est plus scellé et menace de tomber sur la chaussée.

- D’autres volets ont perdu les lamelles du « persiennage ».

Appartement 1° étage droit :

- fissure verticale sur la façade.

- décollement de la façade avec le mur mitoyen.

- fissure en biais sur le mur de façade allant jusqu’à la fenêtre du côté du mur
mitoyen avec le 111.

- fissure sur la cloison séparative.

- fissures en plafond et traces de coulées d’eau dans la chambre.

Appartement 1° étage gauche :

- effondrement partiel du plafond.

Appartement 2°"" étage droit :

- fissure en biais dans la pièce de séjour à la jonction de la façade avec la cloison
du séjour.

- dégât des eaux dans le séjour et dans la chambre.

Appartement 3ème étage gauche :

re

Séjour :
- dégât des eaux.

- fissure en biais en partie basse côté 107.

- différence de niveau de sol (surcharge) entre le séjour et la chambre.
cuisine:

- dégât des eaux.

Appartement 3ème étage droit :

cuisine :

- effondrement partiel du plafond.

Séjour:

- Fissures sur le revêtement de sol en carrelage.

- fissure en biais et une fissure verticale sur le mur mitoyen et la fenêtre.
Cage d'escalier :

- Une dangerosité sur la fixation des fusibles de l’immeuble.

- Des fissures autour du plein ciel, à la liaison avec le plafond.

- Une fissure verticale sur toute hauteur.

- Une fissure en verticale démarrant de l’angle gauche d’une ex-porte pour finir
sur le sol du palier.

",
11-BOULEVARD-PIERRE-MENARD-13011_2019_00322.pdf,"- Les murs de clôture sont composés de moellons bâtis au mortier de chaux. Ils sont
totalement détériorés et de larges fissures sont présentes sur l’ensemble des murs, une
partie s’est effondrée et le reste des murs est tout aussi menaçants

- La maison, les dépendances et les différents bâtis sont à l’état de ruine ; Ils
présentent un risque important de chute pouvant porter atteinte aux familles vivant sur
place.

- L’instabilité du mur donnant sur le chemin d’accès privé donnant sur la traverse
Dominique présente également un risque important d’effondrement.

- Intervention d’un bureau d’étude qualifié afin de déterminer les confortements à
mettre en oeuvre pour sécuriser l’ensemble

- Confortement des différents bâtis (maison, dépendances).

- Sécurisation au moyen de barrières GBA des abords du mur le plus menaçant
suivant plan. (cf annexe 2)

- Obstruction complète des accès piétons .

- Butonnage des quatre façades de la maison.

",
11-boulevard-battala-13003_arrete-pi_2018-03492.pdf,"- Sur le plancher bas du premier étage, les bois d’enfustage prêts à s’effondrer
sont rongés par :
- la pourriture cubique
- un champignon décomposant les fibres du bois
- la rupture de bois d’enfustage
- Le plancher haut du rez-de-chaussée est composé de deux couches, à savoir :
- un plafond en canisse plâtrée.
- un faux plafond suspendu sur rails mais dont le haut des cloisons est resté
en suspension sous le plancher.
- Les quatre souches de cheminée menacent de :
- se désolidariser des murs pignons

- se déverser et de tomber sur la toiture de l’immeuble

",
115-RUE-DE-L-EVECHE-13002_2018_03432.pdf,"- présence d’une fissure structurelle horizontale de cisaillement au niveau de la
cloison du rez-de-chaussée

- présence d’une fissure structurelle horizontale de cisaillement au niveau des
parois de la cour intérieure de l’immeuble

- présence de fissures horizontales de cisaillement au niveau des cloisons du local
commercial

- présence de fissures au niveau du poteau de l’entréé-cirocarconmriererar

- présence de fissures en sous face de la paillasse de l’escalier d’accès aux étages

- fléchissement du sol de l’entrée du local commercial

- présence de fissures en diagonale au dessus du linteau des portes des
appartements au R+3

- présence de fissures structurelles verticales sur les parois du local situé en fond
de couloir au rez-de-chaussée

- présence de fissures sur les parois de la cheminée du puit de lumière.

",
115-boulevard-de-la-blancarde-13004_2019_00169.pdf,"- les balcons du premier et second étage présentent des-pares-mranquances

- les désordres en ont été purgés, assainissant la situation

- l'extrémité Est et Ouest du balcon filant du deuxième étage est affectée d’un
défaut de tenue des pierres

- il persiste un risque de chute d’éléments à chaque extrémité du balcon du
deuxième étage

",
116-AVENUE-CAMILLE-PELLETAN-13003_2019_00615.pdf,"- Inclinaison du bâtiment à la fois Nord-Sud et Est-Ouest,

- En façade sur rue, présence de larges fissures transversales et risque de chute
d’enduits sur la voie publique,

- En façade côté cour, présence de fissures traversantes et distorsion des tableaux

des fenêtres notamment au 1° niveau,

- Les escaliers communs intérieurs de l’immeuble, présentent une inclinaison
entre les refends verticaux et le limon, ainsi qu’une dégradation du limon et des
enfustages,

- Au rez-de-chaussée, en sous-face de l’escalier, affaissement et inclinaison du
mur latéral mitoyen avec le n°114,

- Dans l’appartement au 1” étage côté cour, désolidarisation de la cloison
intérieure servant de refend vis à vis du mur perpendiculaire,

- Fissure horizontale sur le puits de lumière entre les combles et le plafond du
dernier niveau,

- Instabilité des planchers à tous les niveaux,

- Désolidarisation verticale et horizontale des murs de refends, lesquels sont
décollés du plancher,

- Déstabilisation horizontale de l’immeuble se mettant en appui sur le n°114 lui
causant une large fissure horizontale au niveau du plancher du 1° niveau en
façade sur rue,

- L’inclinaison du n°116 entraîne également un mouvement du n°118, ainsi qu’un
mouvement et une fragilisation du n°4 rue Desaix, dont la façade arrière donne
sur la cour du n°116,

",
12-RUE-CHATEAUREDON-13001_2018-03349.pdf,"- présence de différentes fissures en façades sud et nord ayant pour origine des
tassements différentiels des maçonneries anciennes. Elles affectent les structures.

- affaissement de la 1ère volée d’escalier présentant une souplesse anormale des
marches ainsi qu’un enfustage à nu à la sous face du quart tournant.

",
12-RUE-GUICHARD-13003_2018_03111.pdf,"Appartement du 3ème étage côté rue Gaillard :

«- Le plafond de l’appartement très vétuste est recouvert de lambris en bois.
Quelques lames en bois sont déformées, des parties sont en suspension et
menacent de tomber,

- Sur la paroi de la façade, côté Gaillard, nous constatons de l’humidité, le plâtre
se desquame sur la partie haute. A cet endroit, la toiture présente des génoises qui
semblent poreuses (trace de mousse en sous-face).

- Le sol présente un léger affaissement dans la cuisine au niveau de l’évier. Nous
constatons des carreaux fissurés. »

Appartement du 3ème étage côté rue Guichard :

«- Le plafond est recouvert de lames en bois, dans le hall, certaines lames ont été
remplacées par des plaques en bois. L’ensemble n’est pas maintenu et menace de
tomber.

- Le sol est revêtu de tomettes. Certaines zones sont fissurées.

- Les murs sont très humides. La tapisserie se détache.

- L'appartement est très vétuste.

- Dans le wc, j’ai constaté des suintements d’eau au niveau du raccord de la pipe
avec la descente des eaux usées. »

Appartement du 2ème étage côté rue Guichard :

«- Le sol est revêtu de tomettes. Certaines zones sont fissurées.

- Le locataire de l’appartement nous a informés que l’appartement limitrophe avait
été condamné en raison d’un trou présent dans le plancher situé dans la salle de
bain, à proximité de la cloison séparative avec son appartement (Objet d’un péril
du 28/02/2012). A cet endroit, 1l nous montre un affaissement du plancher. Il nous
indique avoir rebouché un trou sous la cloison en formation à plusieurs reprises,
en raison de l’évolution de l’affaissement du dit plancher.

- Dans l’appartement du deuxième étage côté rue Gaillard, interdit d’occupation,
les renforts du plancher limitrophe avec la salle d’eau, objet du péril du 28 février
2012 n’ont pas été effectués.

- Dans le wc, j'ai constaté un suintement d’eau entre la pipe et le raccordement
des eaux usées. »

Façades :
«- Côté rue Guichard j'ai constaté la présence de fuite d’eau sur la descente des

eaux pluviales.

- Rue Gaillard, j’ai constaté l’absence de descente des eaux pluviales. La gouttière
s’écoule directement sur la façade générant des dégradations sur l’enduit et la
présence de moisissures.

Au vu de ces éléments, j'ai relevé :

- Un risque de chute de matière du plafond dans les deux appartements du dernier
niveau.

- Un risque d’effondrement d’une partie du plancher de l’appartement du
deuxième étage rue Guichard. »

« J’ai été informée qu’au n°14 rue Guichard, un probrenre-sirucrarer-crant-une-ues
causes de la condamnation de l’immeuble. Je n’ai pas pu me rendre dans cet
immeuble néanmoins, au regard des dégradations relevées dans cet arrêté et de
l’état visuel de cet immeuble, ces dégradations peuvent avoir un impact sur la
structure de l’immeuble n°12. »

",
12A-BOULEVARD-DUGOMMIER-13001_2018_03384.pdf,"La cage d'escalier
- « Nous avons constaté un effondrement partiel d’une volée d’escalier,
- Fissure de dilatation entre béton de l’escalier et la maçonnerie de l’arase formant
la plinthe.
- Fissure le long de l’assise du garde-corps maçonné
- Éléments instables des marches de l’escalier de l’immeuble avec risque de
blessure des utilisateurs
- Éléments instables de maçonnerie du garde corps maçonné avec risques de
chutes des utilisateurs »

",
13-AVENUE-JOSEPH-BODO-13015_2019_00179.pdf,"- au centre de la façade rue de l’immeuble principal, le balcon surplombant le
trottoir présente, entre autres signes évidents de sa dégradation avancée, un risque
d‘effondrement dans la mesure où un bloc de pierre de l’un des deux corbeaux qui
le supportent s’étant détachée, il a été remis en place sans aucune validation
technique,

- à l'extrémité droite de la façade sur rue de l’immeuble principal, un des blocs de
pierre composant la corniche du chéneau se détache et présente un risque de chute
sur le trottoir au droit de l’entrée du porche de l’immeuble,

- la coursive pour partie démantelée qui dessert les deux logements d’étage du
bâtiment R+1 situé en fond de cour, et qui surplombe les fenêtres et les accès des

deux autres logements en rez-de-chaussée, présente ürsque-e-cronmarenrens

- à l’extrémité droite de la façade cour du bâtiment principal, un bloc de
maçonnerie se détache du balcon surmonté de vitrage de l’appartement du premier
étage et présente un risque de chute dans la cour,

",
13-rue-antoine-del-bello-13010_2018_03300.pdf,"- l’état du plafond du dernier étage, du plein ciel et du vitrage de la cage d’escalier qui
menacent de s’effondrer et de blesser les occupants.

- l’état du plancher bas du rez-de-chaussée qui menace de s’effondrer et de blesser les
occupants.

- la première volée d’escalier avec un devers dangereux pouvant blesser les occupants.

- le plancher bas du palier du ler étage où un effondrement est en formation et menace de

blesser les occupants.
- l’état des éléments de menuiseries instables des volets persiennés pouvant tomber sur la
voie publique et blesser des passants.

",
138-rue-de-rome_2019_00321.pdf,"- présence à tous les niveaux de l’immeuble, d’un dévers du plancher, entre le mur mitoyen sud et le
chevêtre de la cage d’escalier.

- fissures importantes des cloisons au niveau du 1° étage

- fissurations du sol en tomettes au premier et deuxième étages

- balcons de la façade sur cour côté ouest confirmant des problématiques structurelles et d'ancrage
pouvant engendrer leur désolidarisation

- façade affectée de différents types de fissures au niveau du linteau 3° étage

- fissure horizontale de la façade au niveau des toilettes

- forte corrosion de la structure en sous-face du balcon du 3° étage

- forte corrosion la structure du plancher des toilettes du 3° étage

M MARSEILLE-
@&

- affaissement du sol en tomettes devant la porte-fenêtre du balcon du rage

- corrosion de la structure du balcon du niveau supérieur du 1° étage.

- éclat de maçonnerie tombé de la sous-face du balcon du 2° étage,

- fissurations à l’angle des anciennes toilettes du 1° étage,

- descellement en façade de l’appui du garde-corps du balcon,

- fissuration du sol en tomettes devant la porte d’accès au balcon.

- au rez-de-chaussée : descellement du jambage du balcon du 1° étage,

des dégradations autour du scellement d’un gond du volet persienné et des enduits à la sous-face du
balcon supérieur.

- éclats de maçonnerie et de pierres à l’angle des toilettes, au passage des conduites de la
climatisation

- éclats de pierre dans le plenum du faux-plafond,

Le descellement du garde-corps du premier étage risque d’entraîner le
basculement de l’ouvrage sous l’action du poids d’une personne. Les éclats
de maçonneries peuvent occasionner la chute de matériaux sur les étages
inférieurs. Au rez-de-chaussée, le descellement du jambage supportant le
balcon du premier est susceptible de provoquer l'effondrement de ce balcon.
Compte tenu de leurs emplacements et de leurs possibles combinaisons, les
désordres affectant les ouvrages de maçonnerie et de serrurerie des

balcons ainsi que leurs conséquences constituent un danger pour la

sécurité des occupants de l’immeuble.

",
139-COURS-LIEUTAUD-13006_2018_03369.pdf,"- la façade principale présente fissures verticales sur de l’immeuble notamment en
limite de mitoyenneté

- l’escalier est marqué par des fissures très prononcées qui se profilent depuis le
mur, sous les volées et qui remontent sur le limon, affaiblissant la structure de
l'escalier,

",
141-BOULEVARD-DE-LA-LIBERATION-13001_2019_00842.pdf,"- Le sous-sol ou le rez-de-jardin

- Dans les caves dont une seule visitable présence de rongeurs et d’insectes
xylophages.

- Le rez-de-chaussée
- Le seul désordre visible est un appui de fenêtre très dégradé.

- Appartement du premier étage :
Séjour :

- Une fissure en biais sur toute la hauteur.

- Une fissure verticale située à 30cm de la façade.
La chambre enfant présente :
- Une fissure d’arrachement de la façade.

- Une fissure verticale située à droite de la cheminée.

- Une fissure verticale à l’angle de la porte d’accès à la pièce.
La chambre 2 présente :
- Deux fissures d’arrachement sur le mur mitoyen avec l’immeuble 143.

- Une fissure verticale sur toute la hauteur du trumeau de cheminée.

- Une fissure d’arrachement de la cloison de la façade avec le retour en
plafond.
L'entrée présente :
- Un affaissement de revêtement de sol devant la porte palière
- Appartement du deuxième étage :
- Dans le couloir, le plancher est déformé.
- La chambre présente une fissure en biais dans l’angle façade/cheminée sur
le mur mitoyen avec le 139.
- Appartement du troisième étage :
Généralités sur le plancher :
- Il se déverse vers la cage d’escalier
- Il s’affaisse dans la zone entrée, cuisine, séjour et salle de bains
fissuration de la cloison de séparation séjour/cuisine.
Séjour :
- Il présente une fissure d’arrachement du mur mitoyen avec l’immeuble
139 de la façade sur le boulevard.
La chambre 1 présente :
- Une fissure en biais d’arrachement de la façade et du mur mitoyen avec
l’immeuble 139.

- Une cassure de planéité du plancher devant la cheminée et une grande
fissure perpendiculaire à la façade sur les tomettes.

Chambrette :

- Une fissure en escalier sur la cloison séparative avec le séjour.

- Le plafond en canisse plâtrée fissuré.

- Le plancher qui penche.

- Appartement du quatrième étage :
Une chambrette située en fond de comble présente une fissure verticale
d'environ 30 cm de haut sur le mur mitoyen avec l’immeuble 139 et la
façade arrière.

- La cage d’escalier :
Au dernier étage, nous notons un tassement le long des poutres bois avec
des fissures en retour sur le mur mitoyen.

- Au rez-de-chaussée, présence de :
- Deux fissures verticales au niveau du premier chevêtre.

- Une fissure verticale.

- Deux fissures verticales sur la cloison du local commercial, dans le
dégagement du hall.

",
15-16-RUE-DE-SEON-13016_2019_00227.pdf,"- il ne subsiste que quelques éléments de façades et les pignons mitoyens de
l’immeuble démoli, sans la moindre protection
- la structure de l’ensemble de l’édifice est en très mauvais état général
- les façades sont anciennes, n’ont pas été entretenues et présentent un aspect très
dégradé
- les façades sont très déstructurées et les intempéries aggravent les désordres
- les couvertures du bâtiment ont été totalement déposées a l’exception de deux
poutres en bois qui exposées aux intempéries vont se dégrader rapidement et
irrémédiablement

",
